ID,ID CLIENTE,CANT AFICHES,NOMBRE ARCHIVO,ZONA,ESTADO
94,21,19,porta.gif,3,1
95,29,13,sapienVarius.tiff,3,1
96,91,18,lacusMorbiQuis.tiff,3,2
97,8,18,atNibh.gif,1,2
98,3,11,inFaucibusOrci.tiff,3,2
99,82,9,mauris.jpeg,1,1
100,97,20,vulputate.tiff,2,1
101,64,10,elementum.jpeg,2,1
102,98,18,suspendissePotenti.tiff,3,2
103,7,13,eratEros.jpeg,1,2
104,13,9,gravida.png,3,1
105,7,9,congueEtiamJusto.tiff,3,2
106,86,7,nislNunc.png,1,2
107,39,18,fusceConsequat.jpeg,2,2
108,47,4,imperdietEtCommodo.png,1,2
109,69,15,ullamcorperAugueA.tiff,3,1
110,45,4,ut.gif,1,1
111,32,11,ultricesPosuereCubilia.png,3,1
112,46,15,diamVitae.tiff,1,1
113,32,17,laciniaEgetTincidunt.png,1,2
114,38,13,turpisEget.jpeg,3,1
115,7,20,nulla.jpeg,1,1
116,28,9,ipsumInteger.gif,3,2
117,67,9,inLibero.gif,2,2
118,34,10,inFelisDonec.tiff,3,1
119,93,7,quisOdio.tiff,2,2
120,100,16,sodales.tiff,1,1
121,41,19,sodalesSedTincidunt.gif,1,2
122,91,7,accumsan.tiff,1,1
123,2,15,velitDonec.tiff,2,2
124,100,20,risusDapibus.jpeg,2,2
125,24,16,maecenas.tiff,1,1
126,73,6,morbi.png,3,1
127,65,3,nibh.gif,1,2
128,78,11,orci.tiff,1,2
129,62,1,vestibulumAnte.png,2,2
130,87,17,felisEuSapien.tiff,3,1
131,61,19,cursusIdTurpis.jpeg,2,1
132,32,13,cursusUrnaUt.tiff,2,1
133,50,10,luctus.jpeg,2,1
134,87,2,lectusInEst.jpeg,2,1
135,21,16,porta.tiff,1,2
136,82,2,semperEst.jpeg,2,2
137,32,17,iaculis.jpeg,3,1
138,68,5,leoOdioCondimentum.tiff,2,1
139,36,9,arcu.tiff,3,2
140,69,20,eget.tiff,2,1
141,62,1,consequatMorbiA.jpeg,3,2
142,100,20,vulputateNonummy.jpeg,1,2
143,11,1,nislDuis.jpeg,2,1
144,58,2,ridiculusMus.jpeg,3,1
145,94,4,utBlandit.tiff,2,1
146,9,6,maecenasTinciduntLacus.tiff,2,1
147,97,7,velit.png,2,2
148,11,16,tellusSemperInterdum.png,2,2
149,74,15,penatibusEtMagnis.jpeg,1,1
150,40,9,duiNecNisi.gif,2,1
151,37,1,aFeugiatEt.gif,3,1
152,13,1,velNulla.png,3,2
153,98,8,inLectusPellentesque.jpeg,1,1
154,77,7,volutpat.gif,2,2
155,11,17,lectusInQuam.tiff,3,1
156,92,12,pedeJustoLacinia.png,2,2
157,73,3,vivamus.tiff,2,1
158,84,16,enimLeoRhoncus.jpeg,1,2
159,69,15,vestibulumEgetVulputate.tiff,3,2
160,88,4,tortor.tiff,2,1
161,87,19,parturientMontesNascetur.tiff,1,2
162,10,7,ut.tiff,1,1
163,44,14,sapienUtNunc.jpeg,2,1
164,91,17,pharetraMagna.jpeg,3,2
165,89,5,suspendisseOrnareConsequat.png,2,2
166,38,10,cubilia.gif,3,2
167,56,5,euTincidunt.jpeg,2,2
168,93,8,id.gif,1,1
169,32,9,idNislVenenatis.jpeg,2,1
170,81,4,convallis.jpeg,2,2
171,72,14,iaculisDiamErat.tiff,3,1
172,65,11,orci.tiff,1,2
173,72,2,posuere.png,2,1
174,68,1,quamPedeLobortis.jpeg,3,1
175,81,7,nislAeneanLectus.tiff,3,1
176,67,2,non.tiff,2,1
177,63,15,nasceturRidiculusMus.jpeg,2,1
178,65,10,nasceturRidiculus.jpeg,1,1
179,9,8,hacHabitasse.tiff,2,1
180,26,7,odioCras.jpeg,2,1
181,15,18,rutrumAc.png,2,1
182,31,8,magna.gif,1,2
183,77,2,eleifendQuam.tiff,2,1
184,43,16,estQuamPharetra.tiff,3,2
185,15,10,convallisEget.jpeg,1,2
186,92,11,aliquetPulvinarSed.gif,2,2
187,17,11,ametLobortis.jpeg,3,1
188,4,10,dolorVel.jpeg,1,1
189,34,15,sapienUrna.gif,3,1
190,24,7,ipsumPrimis.png,1,2
191,98,11,egetEros.tiff,3,1
192,22,13,semperInterdum.gif,1,1
193,47,15,praesentLectus.tiff,1,1
194,66,4,nonVelit.tiff,1,2
195,4,14,risusPraesentLectus.tiff,3,2
196,25,11,estPhasellusSit.png,3,1
197,49,12,curae.jpeg,2,2
198,8,15,felisDonecSemper.tiff,2,1
199,81,4,molestie.gif,3,1
200,3,1,egetCongue.jpeg,3,1
201,95,2,aliquamLacus.tiff,3,2
202,45,4,lacus.tiff,2,1
203,64,4,enimInTempor.jpeg,1,2
204,61,18,eleifendDonecUt.png,2,1
205,27,20,aeneanLectusPellentesque.gif,3,1
206,77,2,acNibhFusce.jpeg,2,2
207,80,7,namUltrices.png,1,1
208,82,16,egetCongue.tiff,3,1
209,44,12,vestibulumAcEst.gif,1,2
210,63,17,amet.jpeg,3,1
211,53,15,magnaBibendum.png,3,1
212,60,1,facilisi.gif,1,2
213,57,19,vestibulum.gif,3,2
214,74,18,congueVivamusMetus.png,3,1
215,39,15,ultricesAliquet.tiff,2,2
216,81,19,justoMorbiUt.jpeg,2,2
217,12,19,elementumPellentesqueQuisque.pn,1,2
218,66,17,nonummyMaecenas.png,3,1
219,70,6,justo.png,2,1
220,45,14,lectusAliquam.gif,1,2
221,37,15,felisFuscePosuere.jpeg,3,1
222,61,14,nulla.png,1,1
223,29,1,velNislDuis.jpeg,1,2
224,66,3,nibh.jpeg,1,1
225,13,2,orci.gif,1,2
226,92,5,augue.jpeg,3,1
227,23,5,odioCondimentumId.jpeg,1,1
228,100,6,pede.tiff,1,1
229,38,2,ultricesPhasellus.tiff,2,2
230,9,14,ultricesPosuere.gif,1,1
231,71,16,elementumNullam.gif,1,1
232,86,16,ipsumPrimisIn.jpeg,2,2
233,4,15,elementumPellentesque.jpeg,1,1
234,18,10,duiVel.gif,2,2
235,10,11,congueRisus.tiff,2,2
236,21,17,integerPede.tiff,1,2
237,34,10,eu.gif,1,1
238,24,17,disParturientMontes.gif,1,1
239,43,17,nullaFacilisi.jpeg,3,2
240,29,1,aliquam.tiff,1,2
241,44,17,inFelisEu.jpeg,1,1
242,10,1,vel.gif,3,1
243,58,17,loremIdLigula.jpeg,2,1
244,26,10,posuereNonummy.gif,3,1
245,47,13,augueVestibulumRutrum.jpeg,1,1
246,4,1,morbi.png,2,2
247,67,13,nulla.png,1,1
248,17,20,utMassaQuis.jpeg,3,2
249,88,1,pellentesqueAtNulla.tiff,1,2
250,48,15,viverraPede.png,3,2
251,43,1,ut.png,2,2
252,98,9,lectus.jpeg,3,1
253,89,18,aLibero.gif,2,2
254,49,18,orci.jpeg,3,2
255,81,9,dapibusAt.png,3,2
256,3,7,nibh.gif,2,2
257,67,20,lectus.jpeg,3,1
258,85,4,fusce.tiff,2,2
259,33,6,lacinia.png,1,1
260,34,7,habitassePlateaDictumst.jpeg,1,2
261,8,16,euFelisFusce.jpeg,1,2
262,73,19,tristique.png,2,2
263,67,2,erat.tiff,1,1
264,91,8,sociisNatoque.png,2,2
265,91,17,risus.tiff,2,1
266,90,13,tristiqueFusceCongue.png,3,2
267,16,15,phasellusSit.jpeg,2,1
268,85,3,semperPorta.tiff,3,1
269,24,1,inTempus.jpeg,3,1
270,37,2,tristiqueTortorEu.tiff,1,2
271,86,8,nislAenean.jpeg,3,2
272,40,4,turpisInteger.jpeg,3,2
273,8,4,metusSapienUt.tiff,3,1
274,20,8,duisAliquamConvallis.jpeg,2,2
275,94,14,tortor.jpeg,1,2
276,38,5,massa.tiff,3,1
277,36,10,quisJustoMaecenas.gif,1,2
278,62,7,utEratId.tiff,3,1
279,14,19,ipsumDolor.png,2,2
280,69,8,sed.tiff,1,1
281,79,4,etiam.jpeg,3,1
282,49,10,quisOdioConsequat.png,2,1
283,48,9,turpisIntegerAliquet.gif,1,2
284,54,12,nisl.jpeg,1,2
285,13,12,ac.jpeg,3,2
286,94,6,quamTurpisAdipiscing.png,1,2
287,11,13,luctusTinciduntNulla.tiff,2,2
288,70,12,quis.jpeg,3,2
289,14,4,egestas.tiff,3,2
290,89,5,semperInterdumMauris.tiff,3,1
291,93,17,quamPede.png,3,1
292,40,14,turpisNecEuismod.jpeg,3,1
293,20,14,acTellus.jpeg,2,2
294,47,15,ornareConsequat.jpeg,1,2
295,58,7,massaQuisAugue.jpeg,1,1
296,65,20,utEratId.png,2,2
297,48,16,donecDapibusDuis.png,1,1
298,54,14,inImperdiet.tiff,3,2
299,23,19,nuncDonec.gif,1,2
300,46,12,justoMaecenasRhoncus.jpeg,2,1
301,46,5,prueba.jpg,2,1
302,23,7,probando.png,3,2
303,9,1,lalala.arw,1,1
304,2,2,pruebaFinalFinal.jpg,1,1
305,102,3,pruebita.jpg,2,1
306,102,3,lalala.tiff,1,1
307,32,120,muchosAfiches.png,1,2
308,103,250,lalala.jpg,2,2
309,1,500,323,1,2
310,1,1,lala,1,2
311,103,600,lala,2,2
